class;training_time;r2
0.000000000000000000e+00;7.282161760330200195e+01;5.359703343579551582e-01
2.000000000000000000e+00;1.391075968742370605e+02;2.421127625163337349e-01
3.000000000000000000e+00;1.069737443923950195e+02;3.004369153386569069e-01
5.000000000000000000e+00;1.073758945465087891e+02;8.790837716410204727e-03
6.000000000000000000e+00;9.674810123443603516e+01;3.395324046948120511e-01
7.000000000000000000e+00;1.386358296871185303e+02;3.133741294988421355e-01
9.000000000000000000e+00;9.982433271408081055e+01;1.473432062231996298e-01
